"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"12/04/2017","AQS","110010051","1","42","ppb","40","Near Road","23","96.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/05/2017","AQS","110010051","1","28.3","ppb","26","Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/06/2017","AQS","110010051","1","30.1","ppb","28","Near Road","18","75.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/07/2017","AQS","110010051","1","30.4","ppb","28","Near Road","23","96.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/08/2017","AQS","110010051","1","21.5","ppb","20","Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/09/2017","AQS","110010051","1","23.2","ppb","22","Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/10/2017","AQS","110010051","1","24.8","ppb","23","Near Road","22","92.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/11/2017","AQS","110010051","1","27.9","ppb","25","Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/12/2017","AQS","110010051","1","21.9","ppb","20","Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/13/2017","AQS","110010051","1","19.2","ppb","18","Near Road","23","96.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/14/2017","AQS","110010051","1","23.1","ppb","22","Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/15/2017","AQS","110010051","1","31.2","ppb","29","Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/16/2017","AQS","110010051","1","30.3","ppb","28","Near Road","23","96.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/17/2017","AQS","110010051","1","29.6","ppb","27","Near Road","23","96.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/18/2017","AQS","110010051","1","34.4","ppb","32","Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/19/2017","AQS","110010051","1","34.2","ppb","32","Near Road","23","96.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/20/2017","AQS","110010051","1","30.7","ppb","28","Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/21/2017","AQS","110010051","1","38.1","ppb","36","Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/22/2017","AQS","110010051","1","32.1","ppb","30","Near Road","23","96.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/23/2017","AQS","110010051","1","28.5","ppb","26","Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/24/2017","AQS","110010051","1","14.6","ppb","13","Near Road","23","96.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/25/2017","AQS","110010051","1","12.9","ppb","11","Near Road","23","96.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/26/2017","AQS","110010051","1","19.7","ppb","18","Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/27/2017","AQS","110010051","1","22.1","ppb","21","Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/28/2017","AQS","110010051","1","30.2","ppb","28","Near Road","22","92.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/29/2017","AQS","110010051","1","30.6","ppb","28","Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/30/2017","AQS","110010051","1","22.5","ppb","21","Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"12/31/2017","AQS","110010051","1","10.7","ppb","9","Near Road","22","92.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.8947700009222","-76.953426"
"01/01/2017","AQS","240330030","1","21.3","ppb","20","HU-Beltsville","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","033","Prince George's","39.055277","-76.878333"
"01/02/2017","AQS","240330030","1","15.5","ppb","14","HU-Beltsville","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","033","Prince George's","39.055277","-76.878333"
"01/03/2017","AQS","240330030","1","19.4","ppb","18","HU-Beltsville","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","033","Prince George's","39.055277","-76.878333"
