"Group.1","x"
"10/7/2017",0.7675
"10/7/2018",0.57
"10/7/2019",1.59
"10/7/2020",2.3975
"10/8/2011",-1.8125
"10/8/2012",1.545
"10/8/2013",0.505
"10/8/2014",4.4
"10/8/2015",1.3425
"10/8/2016",-2.985
"10/8/2017",0.68
"10/8/2018",-0.1475
"10/8/2019",-2.9475
"10/8/2020",3.2025
"10/9/2011",0.22
"10/9/2012",-1.395
"10/9/2013",-4.7375
"10/9/2014",2.5175
"10/9/2015",0.8675
"10/9/2016",1.525
"10/9/2017",-0.605
"10/9/2018",-2.4825
"10/9/2019",-2.885
"10/9/2020",2.8875
"11/1/2011",-2.135
"11/1/2012",2.615
"11/1/2013",0.0875
"11/1/2014",-1.1175
"11/1/2015",1.7275
"11/1/2016",-2.08
"11/1/2017",-3.2875
"11/1/2018",1.44
"11/1/2019",3.9275
"11/1/2020",-1.51
"11/10/2011",-0.125
"11/10/2012",0.1675
"11/10/2013",4.8525
"11/10/2014",-1.0875
"11/10/2015",-3.375
"11/10/2016",4.2325
"11/10/2017",3.22
"11/10/2018",7.0075
"11/10/2019",1.59
"11/10/2020",1.0175
"11/11/2011",5.1225
"11/11/2012",-0.3825
"11/11/2013",4.87
"11/11/2014",-1.23
"11/11/2015",4.55
"11/11/2016",3.58
"11/11/2017",-0.875
"11/11/2018",3.28
"11/11/2019",0.815
"11/11/2020",-0.4775
"11/12/2011",3.9025
"11/12/2012",-0.06
"11/12/2013",2.385
"11/12/2014",0.6625
"11/12/2015",0.355
"11/12/2016",1.505
"11/12/2017",0.3675
"11/12/2018",0.59
"11/12/2019",2.66
"11/12/2020",1.0625
"11/13/2011",2.215
"11/13/2012",2.3175
"11/13/2013",5.1125
"11/13/2014",1.2325
"11/13/2015",3.7825
"11/13/2016",4.035
"11/13/2017",-1.1425
"11/13/2018",-0.38
"11/13/2019",4.09
"11/13/2020",0.23
"11/14/2011",2.9625
"11/14/2012",-0.2975
"11/14/2013",3.7775
"11/14/2014",4.1075
"11/14/2015",6.955
"11/14/2016",2.7475
"11/14/2017",0.76
"11/14/2018",4.09
"11/14/2019",0.9125
"11/14/2020",4.4875
"11/15/2011",1.265
"11/15/2012",-3.7975
"11/15/2013",1
"11/15/2014",5.0325
"11/15/2015",4.4625
"11/15/2016",0.875
"11/15/2017",-1.8125
"11/15/2018",-5.7775
"11/15/2019",1.465
"11/15/2020",-2.975
"11/16/2011",-0.9925
"11/16/2012",-1.59
"11/16/2013",0.065
"11/16/2014",0.6675
"11/16/2015",4.5225
"11/16/2016",3.4925
"11/16/2017",2.1925
"11/16/2018",3.505
"11/16/2019",-2.915
"11/16/2020",5.95
"11/17/2011",2.235
"11/17/2012",-3.55
"11/17/2013",-1.25
"11/17/2014",-0.21
"11/17/2015",-2.0125
"11/17/2016",2.9125
"11/17/2017",4.96
"11/17/2018",4.005
"11/17/2019",-4.8875
"11/17/2020",5.7875
"11/18/2011",6.565
"11/18/2012",-6.4325
"11/18/2013",1.1075
"11/18/2014",6.195
"11/18/2015",-6.2125
"11/18/2016",1.0075
"11/18/2017",1.3
"11/18/2018",-1.245
"11/18/2019",-0.72
"11/18/2020",6.755
"11/19/2011",1.8875
"11/19/2012",-4.1125
"11/19/2013",5.37
"11/19/2014",5.41
"11/19/2015",-4.165
"11/19/2016",1.3325
"11/19/2017",4.33
"11/19/2018",0.5175
"11/19/2019",1.5
"11/19/2020",0.82
"11/2/2011",-0.77
"11/2/2012",3.8675
"11/2/2013",0.475
"11/2/2014",4.3275
"11/2/2015",1.075
"11/2/2016",0.7325
"11/2/2017",1.55
"11/2/2018",0.00999999999999997
"11/2/2019",-0.055
"11/2/2020",7.095
"11/20/2011",3.625
"11/20/2012",-2.445
"11/20/2013",-1.95
"11/20/2014",2.965
"11/20/2015",3.635
"11/20/2016",7
"11/20/2017",5.5125
"11/20/2018",2.625
"11/20/2019",3.0775
"11/20/2020",2.7925
"11/21/2011",0.645
"11/21/2012",-2.1625
"11/21/2013",-3.8825
"11/21/2014",6.0975
"11/21/2015",-1.8225
"11/21/2016",7.65
"11/21/2017",3.94
"11/21/2018",3.97
"11/21/2019",3.985
"11/21/2020",3.505
"11/22/2011",-3.4875
"11/22/2012",-2.5275
"11/22/2013",1.5375
"11/22/2014",1.855
"11/22/2015",2.0925
"11/22/2016",5.875
"11/22/2017",2.9675
"11/22/2018",2.99
"11/22/2019",2.065
"11/22/2020",-4.29
"11/23/2011",1.7625
"11/23/2012",-0.505
"11/23/2013",4.2625
"11/23/2014",2.925
"11/23/2015",4.5275
"11/23/2016",2.43
"11/23/2017",2.92
"11/23/2018",-3.2325
"11/23/2019",0.97
"11/23/2020",3.345
"11/24/2011",3.6525
"11/24/2012",4.385
"11/24/2013",8.675
"11/24/2014",-0.925
"11/24/2015",2.6075
"11/24/2016",-0.62
"11/24/2017",1.76
"11/24/2018",-2.98
"11/24/2019",2.22
"11/24/2020",3.69
"11/25/2011",3.005
"11/25/2012",4.6775
"11/25/2013",4.7125
"11/25/2014",1.6625
"11/25/2015",-3.8425
"11/25/2016",-1.3475
"11/25/2017",0.5175
"11/25/2018",2.67
"11/25/2019",1.715
"11/25/2020",0.175
"11/26/2011",1.785
"11/26/2012",1.3175
"11/26/2013",1.5025
"11/26/2014",-1.7975
"11/26/2015",-1.6925
